question,rag_answer,expected_answer,faithfulness,relevance,completeness,avg_score
Ist dieser Pilz essbar?,"Der Armillaria mellea kann roh giftig sein, aber nach dem Abkochen von mindestens 15 Minuten ist er genießbar. Die Zubereitung sollte jedoch mit Vorsicht erfolgen und das Essen anschließend gut gekocht werden.","roh giftig, nach dem Abkochen genießbar",3.0,4.0,4.0,3.6666666666666665
Wie sieht dieser Pilz aus?,Der Armillaria mellea hat einen gelben Hut und oft einen dunkelbraunen bis schwarzen Stiel mit einem Ring. Die Lamellen sind ebenfalls charakteristisch für diesen Pilz.,Allgemeine Informationen verfügbar,5.0,4.0,2.5,3.8333333333333335
Wo findet man diesen Pilz?,"Armillaria mellea, auch bekannt als Hallimasch oder Stuppling, kann an Waldlichtungen, in Parks und auf Wiesen gefunden werden. Auch im Garten ist die Art nicht unbekannt. Sie lebt jedoch außerhalb von tropischen Regionen und direkt unterhalb der Arktis und Antarktis vorzufinden.","Umgebung: ['auf Nadel- und Laubbäumen', 'außerhalb von Wäldern', 'an Waldlichtungen', 'in Parks', 'auf Wiesen und in Gärten']",2.0,2.0,2.0,2.0
Wann ist die beste Sammelzeit?,"Die beste Sammelzeit für Armillaria mellea, allgemein bekannt als Hallimasch oder Schüpplinge, liegt zwischen den Monaten August und November.",August bis November,4.0,4.0,4.0,4.0
Wie kann man diesen Pilz zubereiten?,"Der Pilz Armillaria mellea wird als eingeschränkter Speisepilz betrachtet. Um ihn sicher zu essen, muss er roh mindestens 15 Minuten abkochen und anschließend braten, schmoren oder einlegen.","mindestens 15 Minuten abkochen, anschließend braten, schmoren oder einlegen",3.0,4.0,4.0,3.6666666666666665
Mit welchen Pilzen kann man ihn verwechseln?,Man kann Armillaria mellea mit Schüpplingen der Pholiota-Arten und dem Gift-Häubling verwechseln.,Allgemeine Informationen verfügbar,4.0,4.0,4.0,4.0
Welche Besonderheiten hat dieser Pilz?,"Der Hallimasch ist bemerkenswert, weil er als Wirtsbaum stirbt, wenn es durch Befall kommt. Dies macht ihn zu einem faszinierenden Objekt der Pilzwissenschaft.",Wirtsbaum stirbt nach Befall durch Hallimasch allmählig ab,3.0,4.0,4.0,3.6666666666666665
In welcher Umgebung wächst dieser Pilz?,"Der Pilz Hallimasch wächst an Nadel- und Laubbäumen in Waldlichtungen, Parks, auf Wiesen sowie in Gärten. Er kommt außerhalb der Tropen vor und bevorzugt offene bis halbschattige Bereiche von Bäumen oder Sträuchern.","Umgebung: ['auf Nadel- und Laubbäumen', 'außerhalb von Wäldern', 'an Waldlichtungen', 'in Parks', 'auf Wiesen und in Gärten']",4.0,5.0,5.0,4.666666666666667
Welche Farbe hat der Hut?,Der Hut von Armillaria mellea ist gelb gefärbt.,"Hut: gelb, Stiel: ['dunkelbraun bis schwarz', 'oft mit Ring']",5.0,2.0,4.0,3.6666666666666665
Wie ist der Geschmack?,Der Geschmack von Armillaria mellea wird als mild und leicht süßlich beschrieben.,"['mild', 'leicht süßlich', 'pilztypisch']",2.0,2.0,3.0,2.3333333333333335
