question,rag_answer,expected_answer,has_answer,answer_length,relevant_keywords,appropriate_length
Ist dieser Pilz essbar?,Bitte zuerst ein Bild hochladen und analysieren.,"""nach dem Garen essbar, bei rohem Verzehr schwer verdaulich""",True,48,0,True
Wie sieht dieser Pilz aus?,Bitte zuerst ein Bild hochladen und analysieren.,"{""hut"": ""hell- bis dunkelbraun"", ""stiel"": ""hellbraun"", ""schwamm_lamellen"": ""besitzt einen Schwamm""}",True,48,0,True
Wo findet man diesen Pilz?,Bitte zuerst ein Bild hochladen und analysieren.,"{""verbreitungsgebiet"": [""Nordhalbkugel"", ""Europa, Nordamerika, Asien"", ""besonders in gemäßigten Zonen""], ""umgebung"": [""feuchte Umgebung, ansonsten anspruchslos"", ""Laub- oder Nadelwälder""]}",True,48,0,True
Wann ist die beste Zeit zum Sammeln?,Bitte zuerst ein Bild hochladen und analysieren.,Juli bis Oktober,True,48,0,True
Wie bereitet man diesen Pilz zu?,Bitte zuerst ein Bild hochladen und analysieren.,"[""ideal zum Braten"", ""zum Trocknen"", ""für Pilzrisotto und Suppen""]",True,48,1,True
Mit welchen Pilzen kann man ihn verwechseln?,Bitte zuerst ein Bild hochladen und analysieren.,"[""Gallenröhrling (Tylopilus felleus)"", ""Satansröhrling (Rubroboletus satanas)""]",True,48,0,True
Wie riecht dieser Pilz?,Bitte zuerst ein Bild hochladen und analysieren.,"""Geruch unbekannt""",True,48,0,True
Wie schmeckt dieser Pilz?,Bitte zuerst ein Bild hochladen und analysieren.,"[""Mild"", ""nussig"", ""sehr aromatisch""]",True,48,0,True
Gibt es Gefahrstoffe in diesem Pilz?,Bitte zuerst ein Bild hochladen und analysieren.,"""Keine Angaben zu Gefahrstoffen""",True,48,0,True
Wie lautet der lateinische Name?,Bitte zuerst ein Bild hochladen und analysieren.,"""boletus edulis""",True,48,0,True
